code,branch
SBIN0020001,NARIMAN POINT BR
SBIN0020002,KALINA
SBIN0020003,MANDVI
SBIN0020004,SHAHGUNJ
SBIN0020005,CANTONMENT
SBIN0020006,JALNA
SBIN0020007,VAIJAPUR
SBIN0020008,AMBAD
SBIN0020009,BHOKARDAN
SBIN0020010,GANGAPUR
SBIN0020011,KANNAD
SBIN0020012,KHULTABAD
SBIN0020013,LASUR
SBIN0020014,PAITHAN
SBIN0020015,SILLOD
SBIN0020016,PARBHANI MAIN
SBIN0020017,BASMATHNAGAR
SBIN0020018,HINGOLI
SBIN0020019,JINTUR
SBIN0020020,MANWATH
SBIN0020021,PARTUR
SBIN0020022,SAILU
SBIN0020023,GANGAKHED
SBIN0020024,KALMNURI
SBIN0020026,SONPETH
SBIN0020027,BHIR ADB
SBIN0020028,BEED MAIN
SBIN0020029,AMBAJOGAI
SBIN0020030,PARLI VAIJNATH
SBIN0020031,ASHTI
SBIN0020032,KILLE DHARUR
SBIN0020033,GEORAI
SBIN0020034,KAIJ
SBIN0020035,MANJLEGAON
SBIN0020036,PATODA
SBIN0020037,MAIN BR
SBIN0020038,MURUM
SBIN0020039,OSMANABAD
SBIN0020040,UDGIR
SBIN0020041,AHMEDPUR
SBIN0020042,BHOOM
SBIN0020043,KALLAM
SBIN0020044,NALDURG
SBIN0020045,NILANGA
SBIN0020046,OMERGA
SBIN0020047,PARANDA
SBIN0020048,TULJAPUR
SBIN0020049,I E NANDED
SBIN0020050,NANDED VAZIRABAD
SBIN0020051,DEGLOOR
SBIN0020052,BHOKAR
SBIN0020053,BILOLI
SBIN0020054,DHARMABAD
SBIN0020055,HADGAON
SBIN0020056,KANDHAR
SBIN0020057,KINWAT
SBIN0020058,MUKHED
SBIN0020059,RAJURA
SBIN0020060,DEULGAON RAJA
SBIN0020061,MALAKPET HYDERABAD
SBIN0020062,SULTANBAZAR HYDERABAD
SBIN0020063,BELLAVISTA
SBIN0020064,CHIKKADPALLY
SBIN0020065,EXHIBITION GROUNDS HYDERABAD
SBIN0020066,GUNFOUNDRY BR
SBIN0020067,HIMAYATNAGAR HYDERABAD
SBIN0020068,HUSSAINI ALAM HYDERABAD
SBIN0020069,MAHABOOBGUNJ
SBIN0020070,SHANTINAGAR HYDERABAD
SBIN0020071,OSMANIA UNIVERSITY HYDERABAD
SBIN0020072,PUNJAGUTTA HYDERABAD
SBIN0020073,CITY BRANCH HYDERABAD
SBIN0020074,RAJENDRANAGAR
SBIN0020075,RAMACHANDRAPURAM RCPURAM
SBIN0020076,SANATNAGAR
SBIN0020077,SECRETARIAT HYDERABAD
SBIN0020078,KACHEGUDA
SBIN0020079,NAMPALLI STN RD
SBIN0020080,BOLARAM
SBIN0020081,GENERAL BAZAR
SBIN0020082,LALAGUDA
SBIN0020083,NALLAKUNTA HYDERABAD
SBIN0020084,RPROAD
SBIN0020085,BALANAGAR
SBIN0020086,TANDUR
SBIN0020087,HABSHIGUDA
SBIN0020088,PURANAPOOL HYDERABAD
SBIN0020089,CHEVELLA
SBIN0020090,IBRAHIMPATNAM
SBIN0020091,MEDCHAL
SBIN0020092,PARGI
SBIN0020093,SHABAD
SBIN0020094,VIKARABAD
SBIN0020095,VIDYANAGAR HYDERABAD
SBIN0020096,MOULA ALI
SBIN0020097,JOGIPET
SBIN0020098,MEDAK
SBIN0020099,SADASHIVPET
SBIN0020100,SIDDIPET
SBIN0020101,ZAHEERABAD
SBIN0020102,GAJWEL
SBIN0020103,KOHIR
SBIN0020104,NARAYANKHED
SBIN0020105,NARSAPUR
SBIN0020106,ICRISAT
SBIN0020107,SANGAREDDY
SBIN0020108,NIZAMABAD MAIN
SBIN0020109,BODHAN
SBIN0020110,ARMOOR
SBIN0020111,KAMAREDDY
SBIN0020112,BANSWADA
SBIN0020113,DARPALLY
SBIN0020114,KOTGIRI
SBIN0020115,MADNOOR
SBIN0020116,POCHAMPAD
SBIN0020117,SARANGAPUR
SBIN0020118,YELLAREDDY
SBIN0020119,KISANNAGAR
SBIN0020120,BELLAMPALLI
SBIN0020121,SIRPURKAGHAZNAGAR
SBIN0020122,MAIN BR
SBIN0020123,BHAINSA
SBIN0020124,MANCHERIYAL
SBIN0020125,NIRMAL
SBIN0020126,ASIFABAD
SBIN0020127,BOATH
SBIN0020128,CHINNOR
SBIN0020129,KHANAPUR
SBIN0020130,LUXETTIPET
SBIN0020131,MUDHOL AP
SBIN0020132,SIRPUR TOWN
SBIN0020133,UTNOOR
SBIN0020134,MAIN BR
SBIN0020135,JAGTIAL
SBIN0020136,JAMMIKUNTA
SBIN0020137,KORATLA
SBIN0020138,PEDDAPALLI
SBIN0020139,RAMAGUNDEM
SBIN0020140,SIRCILLA
SBIN0020141,DHARMAPURI
SBIN0020142,GANGADHARA
SBIN0020143,HUZURABAD
SBIN0020144,MANTHANI
SBIN0020145,METPALLY
SBIN0020146,SULTANABAD
SBIN0020147,VEMULAWADA
SBIN0020148,MAIN BR
SBIN0020149,N I T BR
SBIN0020150,MAIN BR
SBIN0020151,JANGAON
SBIN0020152,MAHABUBABAD
SBIN0020153,CHERIYAL
SBIN0020154,GHANAPUR
SBIN0020155,HASANPARTHI
SBIN0020156,KESAMUDRAM
SBIN0020157,MULUG
SBIN0020158,NARSAMPET
SBIN0020159,PARKAL
SBIN0020160,KOTHAGUDEM
SBIN0020161,MAIN BR
SBIN0020162,YELLANDU
SBIN0020163,BHADRACHALAM
SBIN0020164,MADHIRA
SBIN0020165,PALVANCHA
SBIN0020166,VENKATAPURAM
SBIN0020167,WYRA
SBIN0020168,BURGAMPHAD
SBIN0020169,VIJAYAWADA GANDHINAGAR
SBIN0020170,JAGGAIAHPET
SBIN0020171,GUNTUR ARUNDELPET
SBIN0020172,NAGARJUNA SAGAR
SBIN0020173,BHONGIR
SBIN0020174,MIRYALGUDA
SBIN0020175,NALGONDA
SBIN0020176,SURYAPET
SBIN0020177,ALER
SBIN0020178,CHANDUR
SBIN0020179,DEVARKONDA
SBIN0020180,HUZURNAGAR
SBIN0020181,KODAD
SBIN0020182,NAKREKAL
SBIN0020183,RAMANNAPET
SBIN0020184,MAHBUBNAGAR
SBIN0020185,GADWAL
SBIN0020186,NARAYANPET
SBIN0020187,WANAPARTHY
SBIN0020188,ACHAMPET
SBIN0020189,ALAMPUR
SBIN0020190,AMANGAL
SBIN0020191,ATMAKUR
SBIN0020192,KODANGAL
SBIN0020193,BADEPALLY
SBIN0020194,KALWAKURTI
SBIN0020195,KOLLAPUR
SBIN0020196,KOSIGI
SBIN0020197,MAKTHAL
SBIN0020198,NAGARKURNOOL
SBIN0020199,SHADNAGAR
SBIN0020200,UTKUR
SBIN0020201,MADANAPURAM
SBIN0020202,J C RD
SBIN0020203,RAICHUR MAIN
SBIN0020204,GANGAVATHI
SBIN0020205,KARATGI
SBIN0020206,KOPPAL
SBIN0020207,SINDHANOOR
SBIN0020208,DEODURG
SBIN0020209,KOWTAL
SBIN0020210,KUSHTGI
SBIN0020211,LINGSUGUR
SBIN0020212,MANVI
SBIN0020213,YELBURGA
SBIN0020214,KANAKAGIRI
SBIN0020215,ANEGUNDI
SBIN0020216,BALGANUR
SBIN0020217,GUNJAHALLI
SBIN0020218,TAVARAGERE
SBIN0020219,HANAMSAGAR
SBIN0020220,KINNAL
SBIN0020221,ALWANDI
SBIN0020222,KUKNOOR
SBIN0020223,GULBARGA SUPER MARKET
SBIN0020224,GULBARGA NEHRUGUNJ
SBIN0020225,YADAGIRI
SBIN0020226,ALAND
